3,160,2000
0,100,5500
0,100,5400
1,200,5400
1,300,5300
0,200,5200
1,100,5500
0,100,5400
0,100,5300
1,100,5200
0,100,5100
0,100,5000
1,100,4900
0,100,4800
0,100,4700
0,100,4600
1,100,4500
0,100,4400
0,100,4300
0,100,4200
1,100,4100
2,100,5900
2,140,5800
2,160,5700
2,200,5600
2,220,5800
2,100,5700
2,150,5100
2,220,5000
2,230,4700
0,100,4000
0,100,3900
1,100,3800
0,100,3700
0,100,3600
1,100,3500
0,100,3400
0,100,3300
1,100,3200
0,100,3100
0,100,3000
1,100,2900
0,100,2800
0,100,2700
1,100,2600
0,100,2500
0,100,2400
1,100,2300
0,100,2200
0,100,2100
1,100,2000
0,100,1900
0,100,1800
1,100,1700
0,100,1600
0,100,1500
1,100,1400
0,100,1300
0,100,1200
1,100,1100
0,100,1000
1,100,900
0,100,800
1,100,700
0,100,600
0,100,500
0,100,400
0,100,300
0,100,200
0,100,100
